stop_id,stop_count,lat,lon
"2326097","0",-118.330160,33.338715
"2326089","0",-118.328900,33.340260
"2326090","0",-118.329940,33.339320
"2326093","0",-118.338326,33.329140
"2326094","0",-118.340355,33.326546
"2326098","0",-118.323680,33.342815
"2326084","0",-118.321860,33.344078
"2326085","0",-118.326096,33.342575
"2326091","0",-118.332610,33.334620
"2326088","0",-118.327630,33.343570
"2326095","0",-118.338220,33.329075
"2326096","0",-118.332695,33.334816
"2382572","0",-118.329750,33.350838
"2326086","0",-118.328760,33.340690
"2326087","0",-118.326775,33.345043
"2326092","0",-118.335490,33.332810
"11421","402",-117.066864,32.573936
"13278","250",-117.237940,32.869568
"99279","111",-117.067250,32.689022
"50076","170",-117.102510,32.675262
"40484","42",-116.842990,32.855835
"99402","15",-116.954270,32.567837
"10477","128",-117.158714,32.832542
"60130","314",-117.127250,32.576736
"40896","116",-116.962260,32.729305
"30663","42",-117.037766,32.624940
"60185","133",-117.097080,32.584030
"11030","44",-117.073500,33.023020
"99186","30",-117.213700,32.868572
"11133","27",-117.235970,32.745483
"10838","137",-117.165924,32.750008
"99343","308",-117.154590,32.716530
"12168","170",-117.085040,32.720512
"98126","5",-116.824890,32.669273
"60070","133",-117.123640,32.576523
"98508","8",-117.209410,32.900390
"98128","5",-116.871130,32.714527
"11370","283",-117.096115,32.696922
"30232","57",-117.072280,32.602734
"10518","104",-117.139824,32.762802
"13311","807",-117.157326,32.715782
"60029","130",-117.109590,32.583720
"50090","170",-117.074670,32.681590
"13102","108",-117.149870,32.770080
"11876","137",-117.243800,32.874900
"10206","140",-117.112640,32.701210
"11288","136",-117.134120,32.716984
"99214","22",-116.961754,32.656715
"11294","55",-117.133230,32.913742
"10236","140",-117.093980,32.700405
"60370","115",-117.179565,32.686024
"40216","44",-116.933365,32.807613
"10776","27",-117.230950,32.736954
"50176","147",-117.084490,32.688362
"96027","59",-117.072426,32.678050
"10707","84",-117.038315,32.712044
"10484","57",-117.155110,32.910660
"91130","57",-117.155830,32.777706
"12771","142",-117.160140,32.727455
"40240","42",-116.773310,32.835790
"12578","220",-117.030420,32.701927
"12603","27",-117.253470,32.740900
"39046","102",-116.980410,32.630417
"21706","7",-117.213880,32.877900
"89029","336",-117.067230,32.569250
"99414","158",-117.133210,32.692722
"10186","140",-117.122720,32.701153
"95031","454",-117.213524,32.868565
11tbro,"0",-117.154650,32.716267
"12368","136",-117.193275,32.828945
"60421","119",-117.083990,32.580082
"11365","142",-117.098460,32.700580
"60788","13",-117.105260,32.810230
"10928","13",-117.129265,32.810050
"41124","14",-117.004295,32.743100
"75079","435",-117.174790,32.733513
"60313","164",-117.044120,32.552097
"12974","78",-117.026250,32.723670
marpar,"0",-117.153990,32.711536
"10091","126",-117.162960,32.832817
"12598","137",-117.270610,32.815830
"40502","49",-117.062584,32.973890
"12954","51",-117.061000,33.018200
"12581","78",-117.026730,32.727940
"75028","350",-117.001860,32.785408
"23002","135",-117.119316,32.912060
"12078","107",-117.138920,32.760487
"40244","14",-117.159890,32.717873
"60542","70",-116.979410,32.568100
"99381","107",-117.230606,32.722313
"99070","42",-116.704970,32.841335
"11654","113",-117.155680,32.716927
"30360","71",-117.071650,32.643260
"12479","137",-117.129960,32.747223
"40878","63",-116.913920,32.821045
"10607","114",-117.094750,32.755880
"60783","28",-117.132120,32.905440
"10826","11",-117.175800,32.751865
"91092","64",-116.980774,32.842346
"10401","28",-117.216230,32.851276
"12037","140",-117.161354,32.736786
"10853","78",-117.158424,32.821907
"10620","112",-117.096700,32.755356
"11667","158",-117.146390,32.698704
"60157","133",-117.060870,32.583893
"10033","105",-117.224075,32.753403
"11941","150",-117.201830,32.830444
"99496","269",-117.090850,33.118332
"40348","4",-117.059120,33.018684
"11425","40",-117.059000,32.745296
i15uns,"0",-117.108925,32.749370
"12412","104",-117.163860,32.738567
"12860","130",-117.102290,32.689220
"12518","152",-117.100710,32.754810
"30237","94",-117.066900,32.606762
"60108","27",-117.168365,32.695435
"11870","136",-117.245090,32.750828
"70039","207",-117.095050,32.629604
"41274","97",-116.939910,32.795017
"40508","72",-117.036730,32.957330
"99202","52",-117.193620,32.895924
"88960","680",-116.939690,32.553320
"12926","44",-117.074326,33.025590
"10386","235",-117.225710,32.803448
"40917","77",-117.051010,32.956480
"88920","122",-117.055830,32.681347
"92265","15",-116.937930,32.556274
"11224","78",-117.172060,32.820440
"11946","61",-117.200860,32.805477
"50139","14",-117.100520,32.671455
"12731","11",-117.169840,32.732056
"12730","230",-117.170784,32.785034
"10122","158",-117.144480,32.701540
"10520","12",-117.139700,32.809624
"21787","7",-117.222010,32.884480
"13205","82",-117.180400,32.905617
"12140","150",-117.097810,32.789402
"99853","61",-117.198650,32.765934
"41243","49",-117.062630,32.953533
"11068","98",-117.036995,32.758015
"99491","98",-117.086790,32.660286
"40333","43",-116.767150,32.835407
"10215","61",-117.111010,32.960686
"30081","113",-117.081726,32.640700
"96010","105",-117.164750,32.713707
"91012","237",-117.066080,32.569725
"60396","88",-117.114160,32.577380
"10210","21",-117.115410,32.777860
"11056","79",-117.048680,32.712105
"99390","129",-117.156075,32.807835
"10899","217",-117.137790,32.748516
conS,"0",-117.163450,32.708930
"75029","350",-117.001610,32.785410
"60292","115",-117.090805,32.634113
"60140","217",-117.109170,32.576640
"11618","229",-117.171196,32.784850
"12880","130",-117.093590,32.700726
"60520","15",-116.971950,32.560543
"12157","60",-117.091965,33.004590
"11180","150",-117.202736,32.828243
"50116","98",-117.097340,32.662830
"88904","45",-116.935610,32.795290
"10180","27",-117.127014,32.831276
"99002","15",-117.078400,32.661790
"40757","41",-116.882440,32.845856
"60024","129",-117.118225,32.583820
"95034","269",-117.213560,32.869247
"98555","8",-117.174350,32.887566
"13226","27",-117.196490,32.900097
"10303","112",-117.040565,32.768730
"10127","90",-117.142550,32.706226
"99139","26",-116.962170,32.788532
"40090","4",-116.921820,32.862907
"40907","41",-116.842650,32.855705
"99251","78",-117.026750,32.731564
"40204","85",-116.947880,32.787567
"98016","1",-116.602730,33.078415
"39029","91",-117.033270,32.614610
"12164","291",-117.085190,32.699966
"75068","191",-117.086130,32.709583
"94038","248",-117.169140,32.765720
"13202","63",-117.192680,32.896538
"75072","191",-117.124756,32.705770
"99057","20",-116.962555,32.655556
"99235","32",-117.058330,32.713245
"10948","152",-117.116580,32.696102
"50052","246",-117.106186,32.674385
"88924","15",-116.979410,32.553530
"12549","169",-117.079440,32.737534
"99358","74",-117.013660,32.717740
"99493","98",-117.081130,32.661530
"50181","15",-117.078140,32.672283
"98102","3",-116.472404,32.628426
"11289","31",-117.136110,32.913025
"13337","105",-117.234170,32.752003
wasS,"0",-117.184390,32.741634
"75003","300",-117.046840,32.557453
"10023","80",-117.235565,32.800877
"12599","137",-117.264700,32.809643
"12819","245",-117.130050,32.752460
"60033","92",-117.099980,32.576427
"10962","142",-117.110240,32.701380
"60442","115",-117.175575,32.679527
"13112","314",-117.070500,32.750526
"99249","123",-116.963090,32.793957
"75011","300",-117.095570,32.629894
"11550","74",-117.236984,32.786900
gasS,"0",-117.159680,32.706844
"11531","9",-117.244660,32.684593
